Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
1,forage_dynamic_simdrop,7.923894759513644,4.551744355310378,,150.1756608314341
1,forage_dynamic_multimodal_alpha=0.0,7.875908310618411,3.8762239872190496,,153.6193858208996
1,forage_dynamic_multimodal_alpha=0.1,8.313325644416386,4.449538479740877,,150.04904182270622
1,forage_dynamic_multimodal_alpha=0.2,8.313325579663683,4.449538818070893,,150.04904182270622
1,forage_dynamic_multimodal_alpha=0.30000000000000004,8.31333732715139,4.44953956639009,,150.0490418226588
1,forage_dynamic_multimodal_alpha=0.4,8.15336197904,4.416233920037049,,148.9992648240824
1,forage_dynamic_multimodal_alpha=0.5,7.97533681174631,4.504968281805435,,148.7654437687841
1,forage_dynamic_multimodal_alpha=0.6000000000000001,7.97369540078614,4.538950082047996,,149.35580480408893
1,forage_dynamic_multimodal_alpha=0.7000000000000001,7.973702967758671,4.538951355473102,,149.3558048040954
1,forage_dynamic_multimodal_alpha=0.8,7.9238935638036585,4.551744476959968,,150.17566083143083
1,forage_dynamic_multimodal_alpha=0.9,7.923883168076181,4.551741931399004,,150.17566083144473
1,forage_dynamic_multimodal_alpha=1.0,7.923885814910752,4.551743399079267,,150.17566083143024
1,forage_dynamic_norms_associative,7.969800806804711,4.61058589090379,,149.17653220974108
1,forage_dynamic_norms_categorical,8.107880425928164,4.71261348127224,,149.35443957168937
1,forage_dynamic_delta_rise=0.0_fall=0.0,7.905382944318173,4.794499584782825,,152.72352322161564
1,forage_dynamic_delta_rise=0.0_fall=0.25,7.966316256011164,4.908071453993598,,149.95459779627691
1,forage_dynamic_delta_rise=0.0_fall=0.5,7.937706277626289,4.76097389349296,,149.010956023291
1,forage_dynamic_delta_rise=0.0_fall=0.75,7.937705114172547,4.760978548419602,,149.01095602331796
1,forage_dynamic_delta_rise=0.0_fall=1.0,7.858968290981271,4.6424652028338445,,148.88774625616531
1,forage_dynamic_delta_rise=0.25_fall=0.0,7.960125171561242,4.8749931154041155,,153.55360069701612
1,forage_dynamic_delta_rise=0.25_fall=0.25,8.025841232802557,4.992556288072143,,150.7578116255404
1,forage_dynamic_delta_rise=0.25_fall=0.5,7.996563995634885,4.8242476438489446,,149.8477788271484
1,forage_dynamic_delta_rise=0.25_fall=0.75,7.9965666426280695,4.824246085163349,,149.8477788271456
1,forage_dynamic_delta_rise=0.25_fall=1.0,7.915690811477441,4.692643128420831,,149.74927895492854
1,forage_dynamic_delta_rise=0.5_fall=0.0,7.859259998356709,4.89650372292505,,156.73644204107174
1,forage_dynamic_delta_rise=0.5_fall=0.25,7.915032973105776,5.036333951144912,,153.93589301169288
1,forage_dynamic_delta_rise=0.5_fall=0.5,7.892137903129167,4.830607199304018,,153.03451215298307
1,forage_dynamic_delta_rise=0.5_fall=0.75,7.892135159764347,4.830604401217953,,153.03451215296965
1,forage_dynamic_delta_rise=0.5_fall=1.0,7.89333424954083,4.700867649274464,,151.43399363186904
1,forage_dynamic_delta_rise=0.75_fall=0.0,7.859257263772261,4.896503247800865,,156.73644204107705
1,forage_dynamic_delta_rise=0.75_fall=0.25,7.915028743530048,5.0363348394857095,,153.93589301169726
